geolocation,recclass,fall,reclong,id,nametype,year,reclat,mass,name
"{'type': 'Point', 'coordinates': [6.08333, 50.775]}",L5,Fell,6.083330,1,Valid,1880-01-01T00:00:00.000,50.775000,21,Aachen
"{'type': 'Point', 'coordinates': [10.23333, 56.18333]}",H6,Fell,10.233330,2,Valid,1951-01-01T00:00:00.000,56.183330,720,Aarhus
"{'type': 'Point', 'coordinates': [-113, 54.21667]}",EH4,Fell,-113.000000,6,Valid,1952-01-01T00:00:00.000,54.216670,107000,Abee
"{'type': 'Point', 'coordinates': [-99.9, 16.88333]}",Acapulcoite,Fell,-99.900000,10,Valid,1976-01-01T00:00:00.000,16.883330,1914,Acapulco
"{'type': 'Point', 'coordinates': [-64.95, -33.16667]}",L6,Fell,-64.950000,370,Valid,1902-01-01T00:00:00.000,-33.166670,780,Achiras
"{'type': 'Point', 'coordinates': [71.8, 32.1]}",EH4,Fell,71.800000,379,Valid,1919-01-01T00:00:00.000,32.100000,4239,Adhi Kot
"{'type': 'Point', 'coordinates': [95.16667, 44.83333]}",LL3-6,Fell,95.166670,390,Valid,1949-01-01T00:00:00.000,44.833330,910,Adzhi-Bogdo (stone)
"{'type': 'Point', 'coordinates': [0.61667, 44.21667]}",H5,Fell,0.616670,392,Valid,1814-01-01T00:00:00.000,44.216670,30000,Agen
"{'type': 'Point', 'coordinates': [-65.23333, -31.6]}",L6,Fell,-65.233330,398,Valid,1930-01-01T00:00:00.000,-31.600000,1620,Aguada
"{'type': 'Point', 'coordinates': [-64.55, -30.86667]}",L,Fell,-64.550000,417,Valid,1920-01-01T00:00:00.000,-30.866670,1440,Aguila Blanca
"{'type': 'Point', 'coordinates': [-9.57028, 16.39806]}",Diogenite-pm,Fell,-9.570280,423,Valid,1974-01-01T00:00:00.000,16.398060,1000,Aioun el Atrouss
"{'type': 'Point', 'coordinates': [8.38333, 19.08333]}",L6,Fell,8.383330,424,Valid,1925-01-01T00:00:00.000,19.083330,24000,Aïr
"{'type': 'Point', 'coordinates': [2.33333, 50.66667]}",Unknown,Fell,2.333330,425,Valid,1769-01-01T00:00:00.000,50.666670,,Aire-sur-la-Lys
"{'type': 'Point', 'coordinates': [35.05, 29.51667]}",L6,Fell,35.050000,426,Valid,1949-01-01T00:00:00.000,29.516670,779,Akaba
"{'type': 'Point', 'coordinates': [77.95, 29.71667]}",H4,Fell,77.950000,427,Valid,1838-01-01T00:00:00.000,29.716670,1800,Akbarpur
"{'type': 'Point', 'coordinates': [8.43333, 8.91667]}",H,Fell,8.433330,432,Valid,1959-01-01T00:00:00.000,8.916670,3000,Akwanga
"{'type': 'Point', 'coordinates': [42.81667, 39.91667]}","Iron, IVA",Fell,42.816670,433,Valid,1981-01-01T00:00:00.000,39.916670,50000,Akyumak
"{'type': 'Point', 'coordinates': [39.51667, 24.41667]}",CR2-an,Fell,39.516670,446,Valid,1957-01-01T00:00:00.000,24.416670,160,Al Rais
"{'type': 'Point', 'coordinates': [28.96, 13.66033]}",LL5,Fell,28.960000,447,Valid,2001-01-01T00:00:00.000,13.660330,700,Al Zarnkh
"{'type': 'Point', 'coordinates': [4.08333, 44.11667]}",CI1,Fell,4.083330,448,Valid,1806-01-01T00:00:00.000,44.116670,6000,Alais
"{'type': 'Point', 'coordinates': [11.01667, 44.65]}",L/LL4,Fell,11.016670,453,Valid,1766-01-01T00:00:00.000,44.650000,2000,Albareto
"{'type': 'Point', 'coordinates': [22.66667, 2]}",L,Fell,22.666670,454,Valid,1949-01-01T00:00:00.000,2.000000,625,Alberta
"{'type': 'Point', 'coordinates': [6.01533, 45.82133]}",Eucrite-mmict,Fell,6.015330,458,Valid,2002-01-01T00:00:00.000,45.821330,252,Alby sur Chéran
"{'type': 'Point', 'coordinates': [-1.78333, 51.78333]}",LL5,Fell,-1.783330,461,Valid,1835-01-01T00:00:00.000,51.783330,700,Aldsworth
"{'type': 'Point', 'coordinates': [37.13333, 36.23333]}",L6,Fell,37.133330,462,Valid,1873-01-01T00:00:00.000,36.233330,3200,Aleppo
"{'type': 'Point', 'coordinates': [8.75, 44.88333]}",H5,Fell,8.750000,463,Valid,1860-01-01T00:00:00.000,44.883330,908,Alessandria
"{'type': 'Point', 'coordinates': [31.81667, 50.95]}",H4,Fell,31.816670,465,Valid,1900-01-01T00:00:00.000,50.950000,9251,Alexandrovsky
"{'type': 'Point', 'coordinates': [10.15, 45.26667]}",L6,Fell,10.150000,466,Valid,1883-01-01T00:00:00.000,45.266670,228000,Alfianello
"{'type': 'Point', 'coordinates': [-85.88333, 42.53333]}",H5,Fell,-85.883330,2276,Valid,1899-01-01T00:00:00.000,42.533330,32000,Allegan
"{'type': 'Point', 'coordinates': [-105.31667, 26.96667]}",CV3,Fell,-105.316670,2278,Valid,1969-01-01T00:00:00.000,26.966670,2000000,Allende
"{'type': 'Point', 'coordinates': [32.41275, 20.74575]}",Ureilite-an,Fell,32.412750,48915,Valid,2008-01-01T00:00:00.000,20.745750,3950,Almahata Sitta
"{'type': 'Point', 'coordinates': [44.21556, 35.27333]}",LL5,Fell,44.215560,2284,Valid,1977-01-01T00:00:00.000,35.273330,6000,Alta'ameem
"{'type': 'Point', 'coordinates': [78.25, 27.66667]}",H5,Fell,78.250000,2290,Valid,1895-01-01T00:00:00.000,27.666670,6400,Ambapur Nagla
"{'type': 'Point', 'coordinates': [85.56667, 26.58333]}",Stone-uncl,Fell,85.566670,2294,Valid,1880-01-01T00:00:00.000,26.583330,2700,Andhara
"{'type': 'Point', 'coordinates': [-70.75, 44.61667]}",L6,Fell,-70.750000,2295,Valid,1898-01-01T00:00:00.000,44.616670,3200,Andover
"{'type': 'Point', 'coordinates': [37.5, 48.7]}",L3,Fell,37.500000,2296,Valid,1969-01-01T00:00:00.000,48.700000,600,Andreevka
"{'type': 'Point', 'coordinates': [76.86667, 20.88333]}",H6,Fell,76.866670,2298,Valid,1939-01-01T00:00:00.000,20.883330,17900,Andura
"{'type': 'Point', 'coordinates': [0, 0]}",L5,Found,0.000000,50693,Valid,,0.000000,256.8,Northwest Africa 5815
"{'type': 'Point', 'coordinates': [-0.55, 47.46667]}",L6,Fell,-0.550000,2301,Valid,1822-01-01T00:00:00.000,47.466670,,Angers
"{'type': 'Point', 'coordinates': [-44.31667, -22.96667]}",Angrite,Fell,-44.316670,2302,Valid,1869-01-01T00:00:00.000,-22.966670,1500,Angra dos Reis (stone)
"{'type': 'Point', 'coordinates': [39.71667, 9.53333]}",H4,Fell,39.716670,2304,Valid,1942-01-01T00:00:00.000,9.533330,6500,Ankober
"{'type': 'Point', 'coordinates': [105.18333, 25.15]}",H5,Fell,105.183330,2305,Valid,1971-01-01T00:00:00.000,25.150000,2500,Anlong
"{'type': 'Point', 'coordinates': [140.78556, 40.81056]}",L6,Fell,140.785560,2313,Valid,1984-01-01T00:00:00.000,40.810560,320,Aomori
"{'type': 'Point', 'coordinates': [-2.71667, 53.58333]}",LL6,Fell,-2.716670,2318,Valid,1914-01-01T00:00:00.000,53.583330,15000,Appley Bridge
"{'type': 'Point', 'coordinates': [5.38333, 43.86667]}",L6,Fell,5.383330,2320,Valid,1803-01-01T00:00:00.000,43.866670,3200,Apt
"{'type': 'Point', 'coordinates': [-66, -33]}",H5,Fell,-66.000000,2325,Valid,1954-01-01T00:00:00.000,-33.000000,810,Arbol Solo
"{'type': 'Point', 'coordinates': [-94.3, 38.5]}",H6,Fell,-94.300000,2329,Valid,1932-01-01T00:00:00.000,38.500000,5070,Archie
"{'type': 'Point', 'coordinates': [-60.66667, -31.41667]}",H5,Fell,-60.666670,2340,Valid,1950-01-01T00:00:00.000,-31.416670,7450,Arroyo Aguiar
"{'type': 'Point', 'coordinates': [9.03333, 42.45]}",H6,Fell,9.033330,2345,Valid,1805-01-01T00:00:00.000,42.450000,41,Asco
"{'type': 'Point', 'coordinates': [-97.01, 31.805]}",L6,Fell,-97.010000,48954,Valid,2009-01-01T00:00:00.000,31.805000,9500,Ash Creek
"{'type': 'Point', 'coordinates': [0.3, 52.05]}",L6,Fell,0.300000,2346,Valid,1923-01-01T00:00:00.000,52.050000,1300,Ashdon
"{'type': 'Point', 'coordinates': [12.55, 43.03333]}",H5,Fell,12.550000,2353,Valid,1886-01-01T00:00:00.000,43.033330,2000,Assisi
"{'type': 'Point', 'coordinates': [80.625, 25.25417]}",L4,Fell,80.625000,4883,Valid,1920-01-01T00:00:00.000,25.254170,1280,Atarra
"{'type': 'Point', 'coordinates': [-103.66667, 20.06667]}",L6,Fell,-103.666670,4884,Valid,1896-01-01T00:00:00.000,20.066670,94.2,Atemajac
"{'type': 'Point', 'coordinates': [-87, 34.75]}",LL6,Fell,-87.000000,4885,Valid,1933-01-01T00:00:00.000,34.750000,265,Athens
